2025-12-08 15:29:58.041 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:continue_safe_execute:81 - Exiting worker process as instructed.
2025-12-08 15:29:58.018 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:297 - [4401]Finished fuzzing mutant 1205 of seed 1205: coverage 81495 -> 81495
2025-12-08 15:29:58.019 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:253 - Starting SGM Fuzzing for seed 1609: numpy.ma.count_masked
2025-12-08 15:29:58.020 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:297 - [4404]Finished fuzzing mutant 1495 of seed 1495: coverage 81495 -> 81496
2025-12-08 15:29:58.060 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:continue_safe_execute:81 - Exiting worker process as instructed.
2025-12-08 15:29:58.061 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:continue_safe_execute:81 - Exiting worker process as instructed.
2025-12-08 15:29:58.062 | DEBUG    | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:275 - Mutant 1183 coverage before execution: 81496
2025-12-08 15:29:58.073 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:276 - Start fuzzing mutant 1183 of seed 1183: numpy.char.rpartition
2025-12-08 15:29:58.074 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:continue_safe_execute:81 - Exiting worker process as instructed.
2025-12-08 15:29:58.076 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:309 - Merging coverage from process 4402 to parent bitmap, final coverage: 81496 bits.
2025-12-08 15:29:58.078 | DEBUG    | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:275 - Mutant 1295 coverage before execution: 81496
2025-12-08 15:29:58.079 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:309 - Merging coverage from process 4401 to parent bitmap, final coverage: 81496 bits.
2025-12-08 15:29:58.079 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:276 - Start fuzzing mutant 1295 of seed 1295: numpy._core._multiarray_umath.promote_types
2025-12-08 15:29:58.097 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:309 - Merging coverage from process 4405 to parent bitmap, final coverage: 81498 bits.
2025-12-08 15:29:58.098 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:309 - Merging coverage from process 4406 to parent bitmap, final coverage: 81499 bits.
2025-12-08 15:29:58.098 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:309 - Merging coverage from process 4403 to parent bitmap, final coverage: 81499 bits.
2025-12-08 15:29:58.099 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:309 - Merging coverage from process 4404 to parent bitmap, final coverage: 81496 bits.
2025-12-08 15:29:58.095 | DEBUG    | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:275 - Mutant 1231 coverage before execution: 81496
2025-12-08 15:29:58.101 | INFO     | respfuzzer.lib.fuzz.fuzz_dataset:fuzz_single_seed:253 - Starting SGM Fuzzing for seed 1588: numpy.ma.reshape
2025-12-08 15:29:58.118 | DEBUG    | respfuzzer.lib.fuzz.instrument:instrument_function_via_path_feedback:143 - Instrumented numpy._core.numeric.full for fuzz
2025-12-08 15:29:58.123 | INFO     | respfuzzer.lib.fuzz.fuzz_function:fuzz_function_feedback:192 - RespFuzzer start feedback fuzz numpy.full
2025-12-08 15:29:58.133 | DEBUG    | respfuzzer.lib.fuzz.instrument:instrument_function_via_path_feedback:143 - Instrumented numpy.ma.mask_rows for fuzz
2025-12-08 15:29:58.134 | INFO     | respfuzzer.lib.fuzz.fuzz_function:fuzz_function_feedback:192 - RespFuzzer start feedback fuzz numpy.ma.extras.mask_rows
